Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2018-11-30,112.75,112.75,109.2,110.1,-2.44,1877299.0,8967.0,207136.84
2018-10-31,91.1,92.82,91.04,92.24,1.5,1136198.0,6795.0,104652.76
2018-09-30,101.0,102.55,99.16,101.0,-1.13,802304.0,3170.0,80918.36
2018-08-31,97.7,99.6,96.5,98.24,-0.47,821678.0,3834.0,80758.99
2018-07-31,95.3,95.3,92.46,92.64,-2.85,765830.0,3791.0,71568.2
2018-06-30,83.7,84.2,83.0,84.06,1.89,609360.0,2381.0,51006.63
2018-05-31,81.76,82.98,80.76,81.5,-0.59,2396339.0,4420.0,195831.01
2018-04-30,90.2,91.54,89.02,89.7,-0.18,298022.0,1881.0,26909.06
2018-03-31,84.56,84.88,83.32,84.12,0.62,793988.0,3401.0,66930.82
2018-02-28,98.76,99.0,96.26,96.52,-2.31,1364975.0,6311.0,132283.13
2018-01-31,108.5,109.45,106.75,107.85,-1.37,872234.0,3409.0,94212.56
2017-12-31,109.6,110.3,106.0,106.0,-3.11,516056.0,2844.0,55325.84
2017-11-30,116.4,116.4,110.5,110.8,-4.48,1504909.0,6625.0,167900.36
2017-10-31,130.7,130.95,128.15,128.7,-1.91,660892.0,3662.0,85259.18
2017-09-30,121.5,123.1,120.3,121.7,0.16,489708.0,1946.0,59576.3
2017-08-31,118.5,119.6,117.35,117.9,-0.67,560440.0,2607.0,66146.45
2017-07-31,106.5,108.9,106.0,106.35,-0.19,929854.0,4199.0,99852.13
2017-06-30,114.4,114.95,111.9,111.9,-2.7,753397.0,3143.0,85251.75
2017-05-31,108.0,109.3,106.15,106.15,-1.62,3537210.0,4649.0,376842.67
2017-04-30,117.0,117.4,115.45,116.0,0.09,760187.0,3197.0,88300.4
2017-03-31,103.75,104.6,100.0,100.0,-4.08,938923.0,3668.0,96421.0
2017-02-28,94.77,95.15,93.87,94.2,-0.16,929762.0,2840.0,87689.34
2017-01-31,81.7,82.28,81.18,81.18,-0.16,520060.0,2410.0,42469.19
2016-12-31,85.0,85.5,84.83,85.3,0.59,894611.0,1919.0,76172.67
2016-11-30,76.26,78.18,76.22,76.45,0.29,1725070.0,3737.0,132860.81
2016-10-31,75.6,78.2,75.6,77.8,2.88,3213150.0,5379.0,249740.29
2016-09-30,64.5,65.65,64.18,65.01,-0.26,1505370.0,2934.0,97787.08
2016-08-31,65.8,65.87,64.55,65.0,-1.29,1234350.0,5163.0,80211.97
2016-07-31,63.2,63.5,62.26,62.45,-1.17,1805073.0,4610.0,113041.92
2016-06-30,69.2,69.92,68.81,69.05,-1.0,1343597.0,4476.0,92911.82
2016-05-31,69.17,70.35,69.17,69.18,0.26,1740490.0,5991.0,120911.83
2016-04-30,70.15,70.15,68.73,68.75,-1.48,1145460.0,5511.0,79318.62
2016-03-31,70.0,73.9,69.0,73.9,0.16,2265930.0,6851.0,165250.17
2016-02-29,63.5,63.95,62.74,63.92,-0.34,1351359.0,5622.0,85692.89
2016-01-31,62.86,63.49,60.15,62.25,-0.24,1791719.0,7333.0,111185.67
2015-12-31,68.24,69.21,67.8,67.85,-0.56,681826.0,2312.0,46600.29
2015-11-30,68.5,68.88,66.8,67.93,-0.83,2616396.0,5429.0,177906.71
2015-10-31,62.96,63.3,62.45,62.77,-0.54,1247141.0,4648.0,78398.14
2015-09-30,66.48,66.6,65.34,66.2,-0.08,1910529.0,5664.0,126278.08
2015-08-31,72.43,73.83,71.35,73.83,1.93,3026504.0,9795.0,219694.08
2015-07-31,76.0,76.73,74.63,76.14,0.85,2292887.0,5888.0,173339.13
2015-06-30,72.01,74.17,72.01,73.83,2.54,1671160.0,5972.0,122582.59
2015-05-31,72.63,73.25,70.65,70.65,-2.82,2083385.0,3606.0,148841.71
2015-04-30,67.49,69.37,66.81,68.48,1.3,1549879.0,5062.0,105754.84
2015-03-31,58.88,59.3,58.65,59.25,0.34,825845.0,2108.0,48766.56
2015-02-28,55.09,55.35,54.11,54.61,-1.34,820761.0,2581.0,45071.99
2015-01-31,55.0,55.84,54.01,54.85,-0.63,1242069.0,3311.0,68029.98
2014-12-31,48.2,49.07,47.51,48.92,0.87,845122.0,2592.0,41042.96
2014-11-30,45.21,45.65,45.1,45.17,-0.02,930416.0,1380.0,42278.83
2014-10-31,41.99,42.12,41.57,41.93,0.55,633860.0,1299.0,26597.29
2014-09-30,41.5,41.67,40.87,41.25,-0.29,1017513.0,1818.0,42051.62
2014-08-31,39.55,39.89,38.98,39.43,-0.71,973571.0,1512.0,38481.86
2014-07-31,38.11,38.68,37.0,37.0,-3.77,1094071.0,2656.0,41260.79
2014-06-30,41.2,41.34,40.55,41.0,0.12,374589.0,808.0,15325.76
2014-05-31,42.8,43.18,42.18,42.18,-1.45,1323914.0,1612.0,56309.45
2014-04-30,45.93,46.19,45.3,45.3,-1.52,677238.0,1060.0,30855.42
2014-03-31,42.33,43.26,42.33,43.22,2.68,789895.0,1609.0,33852.64
2014-02-28,41.8,44.0,41.8,43.7,4.8,1427876.0,2859.0,61681.37
2014-01-31,38.7,39.39,37.9,38.79,0.49,1410390.0,2617.0,54620.55
2013-12-31,41.45,41.68,41.0,41.0,-0.05,344654.0,948.0,14212.53
2013-11-30,47.2,47.94,47.02,47.9,1.91,952492.0,1508.0,45494.95
2013-10-31,45.0,45.15,43.45,43.5,-3.8,1207212.0,2920.0,53102.94
2013-09-30,44.8,44.8,44.1,44.15,-1.89,611545.0,1343.0,27123.46
2013-08-31,45.36,45.4,44.7,44.99,-0.82,724275.0,1288.0,32585.06
2013-07-31,43.5,44.48,43.31,43.45,0.0,798808.0,1313.0,34850.69
2013-06-30,44.8,46.6,43.24,46.6,4.72,2446088.0,2987.0,111521.13
2013-05-31,53.11,54.3,52.35,53.0,-0.08,1946515.0,2902.0,103438.2
2013-04-30,49.92,49.92,48.5,49.0,-0.2,771758.0,1159.0,37818.16
2013-03-31,52.0,52.8,51.35,51.4,-4.28,876180.0,1291.0,45499.93
2013-02-28,54.25,54.25,53.15,53.65,0.0,806032.0,1291.0,43266.49
2013-01-31,50.0,50.5,49.0,49.0,-2.2,1521599.0,1821.0,75440.85
2012-12-31,52.5,52.55,49.5,49.5,-4.26,710800.0,1322.0,36084.04
2012-11-30,47.76,47.76,45.7,45.7,-4.17,1967751.0,2845.0,90974.15
2012-10-31,43.7,44.15,43.3,43.8,0.57,724702.0,1026.0,31792.93
2012-09-30,45.5,46.0,45.05,45.5,0.0,2071444.0,1428.0,94409.57
2012-08-31,38.8,39.55,38.8,39.05,0.85,1748377.0,1491.0,68598.39
2012-07-31,36.35,37.2,35.8,35.8,-1.51,1479305.0,1339.0,53841.32
2012-06-30,36.7,37.8,36.7,37.41,2.49,1121764.0,1556.0,41787.74
2012-05-31,33.9,34.3,33.19,33.25,-2.92,1782573.0,2106.0,59899.27
2012-04-30,36.63,36.9,36.47,36.79,0.25,500425.0,691.0,18357.1
2012-03-31,38.0,38.13,36.93,37.35,-0.95,2339392.0,1687.0,87538.15
2012-02-29,36.19,36.2,35.2,35.52,-0.92,1133667.0,1612.0,40371.52
2012-01-31,37.12,38.0,36.72,36.72,-0.76,1411185.0,2103.0,52627.61
2011-12-31,33.69,33.9,33.41,33.9,0.41,409860.0,830.0,13805.48
2011-11-30,38.57,40.39,37.54,40.19,5.76,1466758.0,2358.0,58132.17
2011-10-31,40.0,40.08,39.1,39.45,-1.99,1033610.0,2005.0,40817.36
2011-09-30,37.1,37.2,35.33,36.49,1.08,1267127.0,2332.0,45894.88
2011-08-31,38.4,39.59,38.1,39.59,4.16,2641627.0,2645.0,103137.08
2011-07-31,46.21,46.78,45.75,46.78,-0.11,1244571.0,1432.0,57401.79
2011-06-30,52.0,52.0,51.05,51.75,0.29,863132.0,1494.0,44580.91
2011-05-31,53.05,54.45,53.0,54.0,2.27,1826646.0,2098.0,98429.07
2011-04-30,55.3,55.35,54.7,55.3,0.0,763033.0,1248.0,42000.83
2011-03-31,52.8,53.35,52.2,52.65,0.96,1236311.0,1658.0,65079.89
2011-02-28,45.01,45.7,45.01,45.6,1.76,2203104.0,1536.0,100223.5
2011-01-31,47.25,47.7,46.55,47.7,-0.42,1184732.0,1434.0,55627.6
2010-12-31,47.0,47.1,45.8,45.8,-2.55,886461.0,860.0,81732.52
2010-11-30,44.1,44.44,43.2,43.2,-0.92,1568204.0,1105.0,137035.23
2010-10-31,40.45,40.5,39.96,40.21,0.78,1000576.0,1301.0,80534.88
2010-09-30,39.62,40.25,39.6,40.0,0.96,1087818.0,1147.0,87019.42
2010-08-31,37.9,38.89,37.26,38.89,1.81,1283435.0,1432.0,97234.24
2010-07-31,39.75,39.76,38.62,39.05,-1.26,575613.0,1141.0,44969.86
2010-06-30,36.42,36.6,35.1,35.48,-2.53,1279421.0,1996.0,91382.76
2010-05-31,38.2,38.8,38.11,38.5,0.39,1064645.0,1218.0,82067.77
2010-04-30,38.75,39.5,38.52,39.11,2.62,1596736.0,1280.0,124814.7
2010-03-31,38.9,39.64,38.8,38.8,-0.64,1240092.0,1123.0,97208.91
2010-02-28,32.3,32.74,31.74,32.74,2.89,1372199.0,1829.0,88587.91
2010-01-31,33.03,33.93,32.8,33.75,1.5,832571.0,1160.0,55745.24
2009-12-31,34.04,34.18,33.9,33.95,0.0,1451385.0,323.0,98607.04
2009-11-30,30.65,31.19,30.46,31.1,2.47,1018737.0,1058.0,62954.91
2009-10-31,30.89,30.9,30.33,30.5,-1.29,1642060.0,1392.0,100487.39
2009-09-30,31.05,31.15,29.6,29.75,-4.03,1582519.0,1818.0,95393.18
2009-08-31,29.4,29.95,29.0,29.2,-0.75,1192493.0,1663.0,70466.84
2009-07-31,28.7,28.9,27.5,28.44,-0.56,1619633.0,2520.0,91597.96
2009-06-30,26.49,27.04,26.0,26.38,1.07,1622470.0,2054.0,86187.36
2009-05-31,29.01,30.68,28.51,29.0,1.75,2960524.0,2886.0,175305.33
2009-04-30,26.0,26.85,26.0,26.58,2.23,1666675.0,1588.0,88460.7
2009-03-31,23.9,24.79,23.72,23.8,0.89,1798160.0,1552.0,86530.5
2009-02-28,21.0,21.54,20.43,20.6,-3.96,2496785.0,2174.0,104034.96
2009-01-31,21.85,22.5,21.32,22.4,1.36,1508156.0,1483.0,66076.46
2008-12-31,25.6,25.97,25.16,25.73,0.12,582945.0,437.0,29991.39
2008-11-30,26.7,26.85,25.51,26.1,-3.26,1412360.0,1631.0,73241.07
2008-10-31,27.0,28.0,26.55,28.0,2.38,1716602.0,1424.0,93753.2
2008-09-30,32.6,34.4,32.2,34.4,3.61,1539563.0,1084.0,103667.39
2008-08-31,33.9,34.0,32.94,33.06,-2.76,1417248.0,1603.0,94274.36
2008-07-31,35.7,36.98,35.0,36.8,3.08,950343.0,1164.0,68689.81
2008-06-30,34.1,34.29,33.6,34.14,0.95,989509.0,893.0,67067.4
2008-05-31,41.95,41.95,40.1,40.1,-3.37,1381264.0,950.0,112633.01
2008-04-30,40.89,41.98,40.89,41.98,2.89,573734.0,407.0,47537.87
2008-03-31,39.17,39.75,38.7,39.55,-0.05,987124.0,829.0,77575.56
2008-02-29,40.9,41.3,39.3,39.9,-2.3,1652745.0,1571.0,133057.57
2008-01-31,41.49,41.6,39.9,40.24,-1.97,1862283.0,1552.0,151295.14
2007-12-31,52.1,52.85,51.45,51.9,-1.33,1178000.0,635.0,122771.35
2007-11-30,51.2,52.5,50.6,52.5,4.79,471781.0,561.0,48960.08
2007-10-31,57.5,58.2,57.1,57.6,-1.03,864514.0,612.0,99627.32
2007-09-30,56.7,57.5,55.5,55.5,-1.94,1024874.0,1024.0,115566.96
2007-08-31,56.5,57.75,56.5,57.4,2.96,1167584.0,871.0,133469.4
2007-07-31,55.5,56.95,55.15,55.15,-0.72,1100168.0,700.0,124222.92
2007-06-30,55.55,55.9,55.0,55.0,-1.7,734546.0,559.0,81476.83
2007-05-31,48.6,49.6,48.11,48.99,1.85,1404122.0,1180.0,137921.65
2007-04-30,45.5,45.9,45.5,45.69,-0.13,409493.0,451.0,37422.03
2007-03-31,48.05,48.64,47.82,48.0,0.63,1792498.0,1682.0,173053.21
2007-02-28,43.5,44.2,42.9,43.75,-1.02,2181433.0,1875.0,191053.77
2007-01-31,47.49,47.49,46.06,46.96,1.65,967260.0,1122.0,90469.03
2006-12-31,47.7,47.8,47.35,47.7,0.0,958962.0,739.0,91222.97
2006-11-30,52.1,52.25,51.1,51.8,0.0,1882370.0,1395.0,195075.17
2006-10-31,47.83,48.2,47.66,48.0,-0.41,845164.0,852.0,81005.06
2006-09-30,49.24,49.24,48.73,49.0,0.51,2241390.0,735.0,219377.62
2006-08-31,53.1,53.1,51.4,51.4,-2.47,1028821.0,1161.0,107685.2
2006-07-31,60.5,61.0,59.3,60.6,0.0,600806.0,1214.0,72534.05
2006-06-30,53.9,53.9,52.1,53.0,1.92,2200306.0,1563.0,234001.21
2006-05-31,53.0,54.7,53.0,53.8,-0.92,1338514.0,989.0,144455.76
2006-04-30,63.2,65.0,63.2,64.0,0.31,674632.0,649.0,86678.48
2006-03-31,58.7,59.0,57.7,58.9,1.55,492286.0,684.0,57442.48
2006-02-28,59.5,61.4,58.5,58.5,-8.88,2709813.0,3638.0,325797.47
2006-01-31,65.6,66.2,63.6,63.8,-1.69,859754.0,1020.0,111222.37
2005-12-31,62.2,62.8,62.0,62.7,-0.32,629335.0,612.0,78647.4
2005-11-30,59.6,60.3,59.5,60.0,-0.5,653334.0,559.0,78295.73
2005-10-31,57.9,59.3,57.9,58.7,2.98,603254.0,903.0,71054.69
2005-09-30,67.0,67.3,65.8,66.8,0.75,1302975.0,968.0,173679.73
2005-08-31,54.9,56.2,54.4,56.2,3.31,1779178.0,957.0,196909.94
2005-07-31,53.8,54.6,53.8,54.1,1.12,887162.0,741.0,96117.4
2005-06-30,50.0,50.5,49.4,50.4,0.8,697169.0,590.0,69710.58
2005-05-31,46.5,46.6,46.1,46.2,-0.43,1430375.0,611.0,132389.54
2005-04-30,45.8,46.1,45.4,45.7,0.44,403223.0,371.0,36823.73
2005-03-31,47.0,47.2,45.6,45.6,-2.36,2104724.0,958.0,193637.9
2005-02-28,48.8,48.8,46.2,46.5,-3.93,1465307.0,1368.0,138020.18
2005-01-31,37.7,38.3,37.4,38.0,0.26,808988.0,453.0,61441.11
2004-12-31,37.8,38.2,37.7,37.8,0.27,411600.0,330.0,31174.61
2004-11-30,37.0,37.6,36.9,37.4,1.08,1607509.0,702.0,119778.56
2004-10-31,36.2,36.8,36.2,36.6,0.27,739651.0,459.0,54158.38
2004-09-30,34.3,34.7,34.1,34.3,0.0,1363387.0,378.0,93680.25
2004-08-31,31.7,32.4,31.5,32.3,1.57,1749227.0,670.0,112483.65
2004-07-31,29.8,30.0,29.5,29.8,0.0,836124.0,310.0,49696.34
2004-06-30,29.4,29.8,29.2,29.8,1.71,1320364.0,460.0,78296.6
2004-05-31,28.5,28.5,28.2,28.3,-0.35,58537.0,171.0,3322.06
2004-04-30,28.8,29.0,28.5,28.8,0.0,285775.0,298.0,16411.38
2004-03-31,28.8,28.8,28.2,28.5,-1.38,649643.0,421.0,37018.33
2004-02-29,28.1,28.5,28.1,28.5,3.26,627221.0,433.0,35437.82
2004-01-31,25.8,26.8,25.8,26.4,2.33,1405234.0,700.0,73783.03
2003-12-31,25.0,25.1,24.9,25.0,0.0,161300.0,250.0,8067.23
2003-11-30,23.8,23.8,23.3,23.3,-1.27,1029012.0,648.0,48519.5
2003-10-31,25.9,25.9,25.6,25.7,-1.15,356376.0,350.0,18363.28
2003-09-30,23.9,24.1,23.7,23.7,-1.66,627436.0,579.0,29996.35
2003-08-31,24.3,24.8,24.3,24.7,2.07,1743777.0,987.0,86038.99
2003-07-31,22.3,22.4,21.6,22.4,0.9,1642983.0,912.0,72498.75
2003-06-30,18.9,19.05,18.8,18.95,-0.26,578908.0,433.0,21967.39
2003-05-31,18.1,18.25,18.0,18.25,0.55,544005.0,457.0,19759.09
2003-04-30,18.2,18.2,17.8,17.95,-1.37,606991.0,467.0,21814.64
2003-03-31,16.9,16.9,16.6,16.7,-1.76,815253.0,456.0,27254.15
2003-02-28,17.15,17.35,17.1,17.15,0.0,213382.0,326.0,7349.94
2003-01-31,17.2,17.25,17.05,17.2,-0.29,356387.0,341.0,12219.18
2002-12-31,17.8,17.8,17.65,17.7,-0.28,160470.0,184.0,5693.04
2002-11-30,19.1,19.15,18.7,18.7,-2.09,1155403.0,796.0,43509.32
2002-10-31,18.75,19.2,18.75,19.2,1.86,404804.0,1549.0,15429.89
2002-09-30,16.3,16.3,16.1,16.2,-1.22,1414219.0,860.0,45771.33
2002-08-31,16.9,17.3,16.8,17.15,2.39,679420.0,596.0,23261.82
2002-07-31,16.65,17.35,16.55,16.55,-0.6,687722.0,635.0,23097.3
2002-06-30,18.45,18.5,17.8,17.9,-1.92,951482.0,822.0,34526.53
2002-05-31,19.65,19.75,19.5,19.65,-0.25,534427.0,376.0,21004.05
2002-04-30,18.5,18.5,18.2,18.4,-0.54,454173.0,414.0,16655.73
2002-03-31,18.95,18.95,18.65,18.65,-1.32,322194.0,326.0,12101.68
2002-02-28,19.8,19.85,19.5,19.7,-0.76,460205.0,447.0,18111.88
2002-01-31,21.8,22.5,21.8,22.3,2.76,954183.0,885.0,42372.37
2001-12-31,18.95,19.15,18.95,19.0,-1.04,254790.0,330.0,9716.58
2001-11-30,18.65,18.9,18.5,18.5,-1.33,316884.0,396.0,11781.46
2001-10-31,18.75,18.85,18.35,18.65,0.0,726718.0,924.0,27077.8
2001-09-30,15.45,15.6,15.1,15.4,0.98,706436.0,540.0,21611.43
2001-08-31,17.35,17.8,17.3,17.8,2.01,379057.0,421.0,13352.17
2001-07-31,16.9,17.0,16.8,16.85,-0.88,618849.0,449.0,20927.57
2001-06-30,17.9,18.2,17.75,17.75,-0.56,221380.0,442.0,7966.78
2001-05-31,19.05,19.8,19.05,19.8,2.85,690063.0,769.0,26976.84
2001-04-30,19.8,19.8,18.5,18.6,-6.29,934876.0,1063.0,35674.91
2001-03-31,18.35,18.45,18.25,18.3,-0.27,305789.0,308.0,11220.25
2001-02-28,17.5,17.95,17.35,17.85,0.28,556324.0,752.0,19630.81
2001-01-31,21.9,22.0,21.7,21.8,-0.45,406984.0,491.0,17774.62
2000-12-31,22.0,23.0,22.0,22.5,1.8,1935341.0,1606.0,87705.38
2000-11-30,20.1,20.3,19.85,19.85,-0.25,748483.0,774.0,30049.18
2000-10-31,17.8,18.25,17.75,18.15,0.0,416086.0,540.0,7951.42
2000-09-30,17.9,18.15,17.85,18.0,2.3,1052526.0,937.0,24106.54
2000-08-31,20.5,20.6,20.3,20.3,1.5,374150.0,538.0,8982.75
2000-07-31,20.9,20.9,20.5,20.8,-1.4,939699.0,773.0,22680.64
2000-06-30,21.3,21.3,20.6,20.7,-0.9,829135.0,789.0,23656.16
2000-05-31,20.8,21.0,20.7,20.8,2.4,457090.0,517.0,7043.28
2000-04-30,22.4,22.5,22.0,22.4,1.4,212760.0,472.0,6169.72
2000-03-31,23.3,23.3,23.0,23.3,-3.8,409289.0,739.0,7074.29
2000-02-29,22.6,22.6,22.2,22.4,3.7,597271.0,1187.0,15822.25
2000-01-31,25.1,25.2,25.0,25.1,-2.3,619497.0,1116.0,18747.15
1999-12-31,25.3,26.1,25.2,26.1,-1.9,1383433.0,2346.0,41596.78
1999-11-30,22.2,22.3,21.9,21.9,-0.5,2260083.0,5738.0,56934.88
